iter	Passed	Remaining
404	7521	1764
405	7538	1745
406	7556	1726
407	7573	1707
408	7590	1688
409	7606	1669
410	7622	1650
411	7639	1631
412	7656	1612
413	7675	1594
414	7693	1575
415	7711	1557
416	7727	1538
417	7743	1519
418	7760	1500
419	7777	1481
420	7794	1462
421	7810	1443
422	7827	1424
423	7847	1406
424	7865	1387
425	7884	1369
426	7903	1351
427	7920	1332
428	7938	1313
429	7956	1295
430	7973	1276
431	7992	1258
432	8009	1239
433	8025	1220
434	8042	1201
435	8058	1182
436	8076	1164
437	8093	1145
438	8110	1127
439	8128	1108
440	8146	1089
441	8165	1071
442	8182	1052
443	8199	1034
444	8216	1015
445	8233	996
446	8249	978
447	8265	959
448	8282	940
449	8299	922
450	8315	903
451	8332	884
452	8349	866
453	8366	847
454	8383	829
455	8400	810
456	8417	792
457	8433	773
458	8450	754
459	8467	736
460	8484	717
461	8502	699
462	8519	680
463	8535	662
464	8551	643
465	8568	625
466	8585	606
467	8601	588
468	8618	569
469	8634	551
470	8651	532
471	8668	514
472	8685	495
473	8702	477
474	8718	458
475	8736	440
476	8754	422
477	8771	403
478	8791	385
479	8808	367
480	8825	348
481	8841	330
482	8857	311
483	8875	293
484	8892	275
485	8909	256
486	8925	238
487	8943	219
488	8960	201
489	8981	183
490	8998	164
491	9015	146
492	9031	128
493	9048	109
494	9065	91
495	9083	73
496	9100	54
497	9117	36
498	9134	18
499	9151	0
